label,rep,start_ms,end_ms,risk_class,fatigue_fraction
BASELINE_STATIC,1,0.0,60000.0,0,
CLEAN_FLEXION,1,63000.0,70000.0,0,
CLEAN_FLEXION,2,71027.9,78027.9,0,
CLEAN_FLEXION,3,79001.0,86001.0,0,
CLEAN_FLEXION,4,87031.0,94031.0,0,
CLEAN_FLEXION,5,94949.8,101949.8,0,
CLEAN_FLEXION,6,102993.7,109993.7,0,
CLEAN_FLEXION,7,110963.1,117963.1,0,
CLEAN_FLEXION,8,118989.8,125989.8,0,
LUMBAR_DOMINANT,1,130055.3,137055.3,1,
LUMBAR_DOMINANT,2,138539.8,145539.8,1,
LUMBAR_DOMINANT,3,147116.0,154116.0,1,
LUMBAR_DOMINANT,4,155539.9,162539.9,1,
LUMBAR_DOMINANT,5,164082.1,171082.1,1,
LUMBAR_DOMINANT,6,172650.9,179650.9,1,
CLEAN_LATERAL_L,1,184054.4,188554.4,0,
CLEAN_LATERAL_L,2,189628.8,194128.8,0,
CLEAN_LATERAL_L,3,195077.8,199577.8,0,
CLEAN_LATERAL_L,4,200595.4,205095.4,0,
CLEAN_LATERAL_L,5,206069.8,210569.8,0,
CLEAN_LATERAL_L,6,211622.0,216122.0,0,
CLEAN_LATERAL_R,1,220111.9,224611.9,0,
CLEAN_LATERAL_R,2,225687.2,230187.2,0,
CLEAN_LATERAL_R,3,231190.8,235690.8,0,
CLEAN_LATERAL_R,4,236654.6,241154.6,0,
CLEAN_LATERAL_R,5,242187.5,246687.5,0,
CLEAN_LATERAL_R,6,247775.4,252275.4,0,
CLEAN_ROTATION_L,1,256231.6,260731.6,0,
CLEAN_ROTATION_L,2,261748.0,266248.0,0,
CLEAN_ROTATION_L,3,267219.2,271719.2,0,
CLEAN_ROTATION_L,4,272621.7,277121.7,0,
CLEAN_ROTATION_L,5,278088.3,282588.3,0,
CLEAN_ROTATION_L,6,283549.6,288049.6,0,
CLEAN_ROTATION_R,1,292049.3,296549.3,0,
CLEAN_ROTATION_R,2,297542.6,302042.6,0,
CLEAN_ROTATION_R,3,302973.6,307473.6,0,
CLEAN_ROTATION_R,4,308377.5,312877.5,0,
CLEAN_ROTATION_R,5,313808.4,318308.4,0,
CLEAN_ROTATION_R,6,319224.3,323724.3,0,
FAST_BEND,1,327729.9,329329.9,1,
FAST_BEND,2,331169.2,332769.2,1,
FAST_BEND,3,334517.5,336117.5,1,
FAST_BEND,4,337863.7,339463.7,1,
FAST_BEND,5,341356.7,342956.7,1,
FAST_BEND,6,344837.5,346437.5,1,
SHOULDER_DRIVEN,1,351332.9,360332.9,1,
SHOULDER_DRIVEN,2,361784.9,370784.9,1,
SHOULDER_DRIVEN,3,372256.8,381256.8,1,
SHOULDER_DRIVEN,4,382846.3,391846.3,1,
SHOULDER_DRIVEN,5,393350.8,402350.8,1,
PICKUP_SYM,1,406864.6,412364.6,0,
PICKUP_SYM,2,413779.0,419279.0,0,
PICKUP_SYM,3,420689.5,426189.5,0,
PICKUP_SYM,4,427719.8,433219.8,0,
PICKUP_SYM,5,434734.1,440234.1,0,
PICKUP_ASYM,1,444636.4,450136.4,1,
PICKUP_ASYM,2,451628.7,457128.7,1,
PICKUP_ASYM,3,458651.4,464151.4,1,
PICKUP_ASYM,4,465626.6,471126.6,1,
PICKUP_ASYM,5,472608.1,478108.1,1,
SIT_TO_STAND_NORMAL,1,482603.6,487103.6,0,
SIT_TO_STAND_NORMAL,2,488125.0,492625.0,0,
SIT_TO_STAND_NORMAL,3,493630.8,498130.8,0,
SIT_TO_STAND_NORMAL,4,499105.9,503605.9,0,
SIT_TO_STAND_NORMAL,5,504596.4,509096.4,0,
SIT_TO_STAND_FAST,1,513077.7,515077.7,-1,
SIT_TO_STAND_FAST,2,516598.9,518598.9,-1,
SIT_TO_STAND_FAST,3,520154.7,522154.7,-1,
FATIGUE_FLEXION,1,526611.2,532111.2,0,0.0
FATIGUE_FLEXION,2,532111.2,537611.2,0,0.053
FATIGUE_FLEXION,3,537611.2,543111.2,0,0.105
FATIGUE_FLEXION,4,543111.2,548611.2,0,0.158
FATIGUE_FLEXION,5,548611.2,554111.2,0,0.211
FATIGUE_FLEXION,6,554111.2,559611.2,0,0.263
FATIGUE_FLEXION,7,559611.2,565111.2,-1,0.316
FATIGUE_FLEXION,8,565111.2,570611.2,-1,0.368
FATIGUE_FLEXION,9,570611.2,576111.2,-1,0.421
FATIGUE_FLEXION,10,576111.2,581611.2,-1,0.474
FATIGUE_FLEXION,11,581611.2,587111.2,-1,0.526
FATIGUE_FLEXION,12,587111.2,592611.2,-1,0.579
FATIGUE_FLEXION,13,592611.2,598111.2,1,0.632
FATIGUE_FLEXION,14,598111.2,603611.2,1,0.684
FATIGUE_FLEXION,15,603611.2,609111.2,1,0.737
FATIGUE_FLEXION,16,609111.2,614611.2,1,0.789
FATIGUE_FLEXION,17,614611.2,620111.2,1,0.842
FATIGUE_FLEXION,18,620111.2,625611.2,1,0.895
FATIGUE_FLEXION,19,625611.2,631111.2,1,0.947
FATIGUE_FLEXION,20,631111.2,636611.2,1,1.0
