n_windows,n_safe,n_risky,accuracy,sensitivity,specificity,precision_risk,f1_risk,auc,tn,fp,fn,tp,participant_id,model_variant,train_windows,train_real_windows,train_synthetic_windows,test_windows,threshold,model_path
796,504,292,0.535175879396985,0.3938356164383562,0.6170634920634921,0.37337662337662336,0.38333333333333336,0.5596868884540117,311,193,177,115,participant_01,generic_other_participants,11716,11716,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_01_generic_other_participants.joblib
796,504,292,0.6695979899497487,0.7363013698630136,0.6309523809523809,0.5361596009975063,0.6204906204906205,0.8034559143292019,318,186,77,215,participant_01,personal_calibration_only,703,703,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_01_personal_calibration_only.joblib
796,504,292,0.8015075376884422,0.5856164383561644,0.9265873015873016,0.8221153846153846,0.684,0.845727332028702,467,37,121,171,participant_01,personal_augmented,6327,703,5624,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_01_personal_augmented.joblib
796,504,292,0.6155778894472361,0.5102739726027398,0.6765873015873016,0.4775641025641026,0.49337748344370863,0.6275549032398348,341,163,143,149,participant_02,generic_other_participants,11716,11716,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_02_generic_other_participants.joblib
796,504,292,0.5804020100502513,0.636986301369863,0.5476190476190477,0.4492753623188406,0.5269121813031161,0.6832871276364427,276,228,106,186,participant_02,personal_calibration_only,703,703,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_02_personal_calibration_only.joblib
796,504,292,0.5791457286432161,0.6198630136986302,0.5555555555555556,0.4469135802469136,0.5193687230989957,0.6671830832789737,280,224,111,181,participant_02,personal_augmented,6327,703,5624,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_02_personal_augmented.joblib
796,504,292,0.6243718592964824,0.08561643835616438,0.9365079365079365,0.43859649122807015,0.14326647564469913,0.6322841922156991,472,32,267,25,participant_03,generic_other_participants,11716,11716,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_03_generic_other_participants.joblib
796,504,292,0.7248743718592965,0.7294520547945206,0.7222222222222222,0.603399433427762,0.6604651162790698,0.8018794846705806,364,140,79,213,participant_03,personal_calibration_only,703,703,0,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_03_personal_calibration_only.joblib
796,504,292,0.7248743718592965,0.7568493150684932,0.7063492063492064,0.5989159891598916,0.6686838124054463,0.7946972167862578,356,148,71,221,participant_03,personal_augmented,6327,703,5624,796,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_03_personal_augmented.joblib
764,472,292,0.6413612565445026,0.1780821917808219,0.9279661016949152,0.6046511627906976,0.2751322751322751,0.5847239958207568,438,34,240,52,participant_04,generic_other_participants,11766,11766,0,764,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_04_generic_other_participants.joblib
764,472,292,0.8403141361256544,0.7945205479452054,0.8686440677966102,0.7891156462585034,0.7918088737201365,0.9095295449268632,410,62,60,232,participant_04,personal_calibration_only,685,685,0,764,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_04_personal_calibration_only.joblib
764,472,292,0.8691099476439791,0.7842465753424658,0.9216101694915254,0.8609022556390977,0.8207885304659498,0.9386391339679592,435,37,63,229,participant_04,personal_augmented,6165,685,5480,764,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_04_personal_augmented.joblib
782,504,278,0.6930946291560103,0.44964028776978415,0.8273809523809523,0.589622641509434,0.5102040816326531,0.6796063149480415,417,87,153,125,participant_05,generic_other_participants,11730,11730,0,782,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_05_generic_other_participants.joblib
782,504,278,0.6445012787723785,0.5827338129496403,0.6785714285714286,0.5,0.5382059800664452,0.6846023181454837,342,162,116,162,participant_05,personal_calibration_only,703,703,0,782,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_05_personal_calibration_only.joblib
782,504,278,0.7710997442455243,0.5071942446043165,0.9166666666666666,0.7704918032786885,0.6117136659436009,0.7113166609569488,462,42,137,141,participant_05,personal_augmented,6327,703,5624,782,0.5,ml\models\personalised_stage2b_corrected_qc_n9\participant_05_personal_augmented.joblib
